Player,Team,Nation,Position,Actual_Transfer_Value_M,Predicted_Transfer_Value_M
Erling Haaland,Manchester City,NOR,FW,198.8,130.3
Martin Ødegaard,Arsenal,NOR,MF,126.5,116.68
Cole Palmer,Chelsea,ENG,MF,115.4,104.89
Omar Marmoush,Manchester City,EGY,FW,79.1,101.11
Sávio,Manchester City,BRA,FW,74.8,95.81
Ryan Gravenberch,Liverpool,NED,MF,85.3,91.75
Jeremy Doku,Manchester City,BEL,FW,66.2,89.62
Alexis Mac Allister,Liverpool,ARG,MF,106.1,88.32
Declan Rice,Arsenal,ENG,MF,107.8,87.44
Enzo Fernández,Chelsea,ARG,MF,73.7,85.68
Phil Foden,Manchester City,ENG,MF,105.7,83.52
Moisés Caicedo,Chelsea,ECU,MF,80.7,80.7
Joško Gvardiol,Manchester City,CRO,DF,78.7,78.7
Emile Smith Rowe,Fulham,ENG,MF,40.8,72.98
Kai Havertz,Arsenal,GER,FW,70.5,72.28
Dominik Szoboszlai,Liverpool,HUN,MF,71.4,71.4
Morgan Rogers,Aston Villa,ENG,FW,69.0,71.32
Bruno Guimarães,Newcastle Utd,BRA,MF,83.2,69.9
Nicolas Jackson,Chelsea,SEN,FW,66.2,69.45
Jack Grealish,Manchester City,ENG,FW,43.5,68.97
Bukayo Saka,Arsenal,ENG,FW,101.3,68.51
Curtis Jones,Liverpool,ENG,MF,61.7,68.27
Ethan Nwaneri,Arsenal,ENG,FW,74.3,67.73
Alejandro Garnacho,Manchester Utd,ARG,MF,60.7,67.46
Murillo,Nott'ham Forest,BRA,DF,68.4,63.84
João Gomes,Wolves,BRA,MF,51.1,63.41
Mohamed Salah,Liverpool,EGY,FW,38.5,62.48
Cody Gakpo,Liverpool,NED,FW,67.5,62.26
Rúben Dias,Manchester City,POR,DF,58.5,62.24
Ollie Watkins,Aston Villa,ENG,FW,61.4,61.89
Gabriel Martinelli,Arsenal,BRA,FW,62.6,61.88
Matheus Cunha,Wolves,BRA,MF,62.6,61.88
João Pedro,Brighton,BRA,FW,61.3,60.79
Leandro Trossard,Arsenal,BEL,FW,31.8,60.15
Luis Díaz,Liverpool,COL,FW,71.0,59.78
Leny Yoro,Manchester Utd,FRA,DF,71.0,59.45
James Maddison,Tottenham,ENG,MF,58.1,59.32
Joshua Zirkzee,Manchester Utd,NED,FW,43.7,58.81
Mikel Merino,Arsenal,ESP,MF,40.5,58.51
Noni Madueke,Chelsea,ENG,FW,51.6,58.42
Darwin Núñez,Liverpool,URU,FW,60.9,58.11
Liam Delap,Ipswich Town,ENG,FW,37.0,57.34
Rico Lewis,Manchester City,ENG,DF,62.7,57.31
Dejan Kulusevski,Tottenham,SWE,MF,60.5,57.19
Lucas Paquetá,West Ham,BRA,MF,71.2,56.8
Morgan Gibbs-White,Nott'ham Forest,ENG,MF,61.7,55.86
Milos Kerkez,Bournemouth,HUN,DF,61.5,55.64
Mathys Tel,Tottenham,FRA,FW,56.4,55.61
Amad Diallo,Manchester Utd,CIV,FW,48.5,55.61
Alexander Isak,Newcastle Utd,SWE,FW,120.3,55.0
Adam Wharton,Crystal Palace,ENG,MF,48.9,54.41
